created_at,entry_id,field1,field2
2018-12-27 10:35:59 UTC,1,24.7,64.8
2018-12-27 10:36:18 UTC,2,23.7,66.0
2018-12-27 10:36:37 UTC,3,23.6,66.6
2018-12-27 10:36:56 UTC,4,23.6,67.1
2018-12-27 10:37:15 UTC,5,23.6,67.0
2018-12-27 10:37:34 UTC,6,23.6,67.9
2018-12-27 10:37:53 UTC,7,23.6,67.7
2018-12-27 10:38:12 UTC,8,23.6,68.4
2018-12-27 10:38:30 UTC,9,23.6,68.5
2018-12-27 10:38:49 UTC,10,23.7,69.4
2018-12-27 10:39:08 UTC,11,23.6,66.9
2018-12-27 10:39:27 UTC,12,23.6,68.5
2018-12-27 10:39:46 UTC,13,23.6,69.4
2018-12-27 10:40:05 UTC,14,23.6,66.9
2018-12-27 10:40:25 UTC,15,23.7,69.0
2018-12-27 10:40:45 UTC,16,23.7,72.7
2018-12-27 10:41:03 UTC,17,23.7,74.6
2018-12-27 10:41:25 UTC,18,23.7,75.7
2018-12-27 10:41:44 UTC,19,23.7,76.1
2018-12-27 10:42:03 UTC,20,23.7,76.3
2018-12-27 10:42:22 UTC,21,23.7,76.7
2018-12-27 10:42:41 UTC,22,23.8,77.2
2018-12-27 10:43:00 UTC,23,23.8,77.5
2018-12-27 10:43:29 UTC,24,23.8,77.3
2018-12-27 10:43:48 UTC,25,23.8,77.8
2018-12-27 10:44:08 UTC,26,23.8,77.8
2018-12-27 10:44:27 UTC,27,23.8,78.1
2018-12-27 10:44:46 UTC,28,23.8,78.2
2018-12-27 10:45:05 UTC,29,23.8,78.4
2018-12-27 10:45:25 UTC,30,23.8,78.6
2018-12-27 10:45:43 UTC,31,23.8,78.8
2018-12-27 10:46:02 UTC,32,23.8,78.9
2018-12-27 10:46:21 UTC,33,23.8,79.0
2018-12-27 10:46:40 UTC,34,23.8,79.3
2018-12-27 10:46:59 UTC,35,23.8,79.4
2018-12-27 10:47:18 UTC,36,23.8,79.5
2018-12-27 10:47:38 UTC,37,23.8,79.7
2018-12-27 10:47:57 UTC,38,23.8,79.9
2018-12-27 10:48:16 UTC,39,23.8,80.0
2018-12-27 10:48:35 UTC,40,23.8,80.0
2018-12-27 10:49:26 UTC,41,23.8,80.2
2018-12-27 10:49:45 UTC,42,23.8,80.2
2018-12-27 10:50:04 UTC,43,23.8,80.3
2018-12-27 10:50:23 UTC,44,23.8,80.4
2018-12-27 10:50:42 UTC,45,23.8,80.5
2018-12-27 10:51:03 UTC,46,23.8,80.5
2018-12-27 10:51:22 UTC,47,23.8,80.6
2018-12-27 10:51:41 UTC,48,23.8,80.6
2018-12-27 10:52:01 UTC,49,23.8,80.8
2018-12-27 10:52:20 UTC,50,23.8,80.8
2018-12-27 10:52:40 UTC,51,23.8,80.8
2018-12-27 10:53:01 UTC,52,23.8,80.8
2018-12-27 10:53:38 UTC,53,23.8,80.7
2018-12-27 10:54:00 UTC,54,23.8,80.9
2018-12-27 10:54:20 UTC,55,23.9,81.0
2018-12-27 10:54:41 UTC,56,23.9,80.9
2018-12-27 10:55:02 UTC,57,23.9,80.9
2018-12-27 10:55:21 UTC,58,23.9,81.0
2018-12-27 10:55:40 UTC,59,23.9,81.0
2018-12-27 10:56:00 UTC,60,23.9,80.9
2018-12-27 10:56:19 UTC,61,23.9,80.8
2018-12-27 10:56:40 UTC,62,23.9,80.9
2018-12-27 10:57:00 UTC,63,23.9,80.8
2018-12-27 10:57:19 UTC,64,23.9,81.0
2018-12-27 10:57:38 UTC,65,23.9,80.9
2018-12-27 10:58:00 UTC,66,23.9,80.9
2018-12-27 10:58:21 UTC,67,23.9,80.8
2018-12-27 10:58:41 UTC,68,23.9,80.9
2018-12-27 10:59:00 UTC,69,23.9,80.9
2018-12-27 10:59:20 UTC,70,23.9,80.9
2018-12-27 10:59:40 UTC,71,23.9,80.8
2018-12-27 10:59:59 UTC,72,23.9,80.8
2018-12-27 11:00:19 UTC,73,24.0,80.9
2018-12-27 11:00:38 UTC,74,24.0,81.0
2018-12-27 11:00:57 UTC,75,24.0,81.1
2018-12-27 11:01:18 UTC,76,24.0,81.2
2018-12-27 11:01:40 UTC,77,24.0,81.2
2018-12-27 11:01:59 UTC,78,24.0,81.2
2018-12-27 11:02:18 UTC,79,23.9,81.2
2018-12-27 11:02:40 UTC,80,24.0,81.3
2018-12-27 11:02:59 UTC,81,24.0,81.3
2018-12-27 11:03:19 UTC,82,24.0,81.3
2018-12-27 11:03:38 UTC,83,23.9,81.3
2018-12-27 11:04:01 UTC,84,24.0,81.3
2018-12-27 11:04:21 UTC,85,24.0,81.3
2018-12-27 11:04:40 UTC,86,24.0,81.3
2018-12-27 11:04:59 UTC,87,24.0,81.3
2018-12-27 11:05:23 UTC,88,24.0,81.3
2018-12-27 11:05:45 UTC,89,24.0,81.3
2018-12-27 11:06:07 UTC,90,24.0,81.3
2018-12-27 11:06:25 UTC,91,24.0,81.2
2018-12-27 11:06:44 UTC,92,24.0,81.2
2018-12-27 11:07:04 UTC,93,24.0,81.2
2018-12-27 11:07:24 UTC,94,24.0,81.2
2018-12-27 11:07:42 UTC,95,24.0,81.3
2018-12-27 11:08:00 UTC,96,24.0,81.3
2018-12-27 11:08:20 UTC,97,24.0,81.3
2018-12-27 11:08:39 UTC,98,24.0,81.2
2018-12-27 11:08:59 UTC,99,24.1,81.4
2018-12-27 11:09:16 UTC,100,24.0,81.3
2018-12-27 11:09:35 UTC,101,24.0,81.2
2018-12-27 11:09:54 UTC,102,24.1,81.3
2018-12-27 11:10:13 UTC,103,24.0,81.2
2018-12-27 11:10:33 UTC,104,24.0,81.2
2018-12-27 11:10:52 UTC,105,24.0,81.2
2018-12-27 11:11:11 UTC,106,24.1,81.3
2018-12-27 11:11:30 UTC,107,24.0,81.2
2018-12-27 11:11:49 UTC,108,24.0,81.2
2018-12-27 11:12:08 UTC,109,24.0,81.2
2018-12-27 11:12:29 UTC,110,24.0,81.3
2018-12-27 11:12:46 UTC,111,24.1,81.4
2018-12-27 11:13:05 UTC,112,24.0,81.3
2018-12-27 11:13:24 UTC,113,24.0,81.2
2018-12-27 11:13:43 UTC,114,24.0,81.2
2018-12-27 11:14:02 UTC,115,24.0,81.3
2018-12-27 11:14:21 UTC,116,24.0,81.3
2018-12-27 11:15:00 UTC,117,24.0,81.4
2018-12-27 11:15:19 UTC,118,24.0,81.4
2018-12-27 11:15:38 UTC,119,24.0,81.4
2018-12-27 11:15:57 UTC,120,24.0,81.5
2018-12-27 11:16:16 UTC,121,24.0,81.5
2018-12-27 11:16:35 UTC,122,24.0,81.5
2018-12-27 11:16:54 UTC,123,24.0,81.5
2018-12-27 11:17:14 UTC,124,24.0,81.5
2018-12-27 11:17:33 UTC,125,24.0,81.6
2018-12-27 11:17:54 UTC,126,24.0,81.6
2018-12-27 11:18:11 UTC,127,24.0,81.6
2018-12-27 11:18:29 UTC,128,24.0,81.7
2018-12-27 11:18:48 UTC,129,24.0,81.7
2018-12-27 11:19:07 UTC,130,24.0,81.8
2018-12-27 11:19:26 UTC,131,24.0,81.8
2018-12-27 11:19:45 UTC,132,24.0,81.8
2018-12-27 11:20:05 UTC,133,24.0,81.8
2018-12-27 11:20:23 UTC,134,23.9,81.8
2018-12-27 11:20:42 UTC,135,24.0,81.9
2018-12-27 11:21:01 UTC,136,24.0,81.9
2018-12-27 11:21:20 UTC,137,23.9,81.9
2018-12-27 11:21:40 UTC,138,23.9,82.0
2018-12-27 11:21:59 UTC,139,23.9,82.0
2018-12-27 11:22:18 UTC,140,23.9,81.9
2018-12-27 11:22:37 UTC,141,23.9,82.0
2018-12-27 11:22:56 UTC,142,23.9,82.0
2018-12-27 11:23:16 UTC,143,23.9,82.1
2018-12-27 11:23:35 UTC,144,24.0,82.2
2018-12-27 11:23:54 UTC,145,23.9,82.1
2018-12-27 11:24:13 UTC,146,23.9,82.2
2018-12-27 11:24:32 UTC,147,23.9,82.2
2018-12-27 11:24:52 UTC,148,23.9,82.2
2018-12-27 11:25:11 UTC,149,23.9,82.2
2018-12-27 11:25:31 UTC,150,23.9,82.2
2018-12-27 11:25:51 UTC,151,23.9,82.2
2018-12-27 11:26:11 UTC,152,24.0,82.3
2018-12-27 11:26:30 UTC,153,23.9,82.3
2018-12-27 11:26:48 UTC,154,23.9,82.3
2018-12-27 11:27:08 UTC,155,23.9,82.3
2018-12-27 11:27:27 UTC,156,23.9,82.3
2018-12-27 11:27:46 UTC,157,23.9,82.4
2018-12-27 11:28:08 UTC,158,23.9,82.5
2018-12-27 11:28:27 UTC,159,23.9,82.6
2018-12-27 11:28:47 UTC,160,23.9,82.6
2018-12-27 11:29:06 UTC,161,23.9,82.6
2018-12-27 11:29:25 UTC,162,23.9,82.6
2018-12-27 11:29:44 UTC,163,23.9,82.6
2018-12-27 11:30:04 UTC,164,23.9,82.7
